id,fecha_reg,producto,marca,modelo,calidad,color,stock,precio_usd,precio,descuento1,descuento2,precio_usd_modulo_bat,precio_modulo_bat,fecha_actualizacion
4,2023-11-25,,samsung,j7 2016,oled,,,0.0,0,,,,,
5,2023-11-25,,samsung,j7 2016 sin logo,incell qx,,,16.0,16800,,,,,
6,2023-11-25,,samsung,j7 2016,incell ttc,,,19.0,19950,,,,,
7,2023-11-25,,samsung,j7 2016 sin logo,oled 2,,,124.0,13020,,,,,
128,2023-11-25,,motorola,g3,original,,,,0,,,,,
129,2023-11-25,,motorola,g4,original,,,9.0,9450,,,,,
130,2023-11-25,,motorola,g4 play c/m,original,,,16.0,16800,,,,,
131,2023-11-25,,motorola,g4 plus,original,,,9.0,9450,,,,,
178,2023-11-25,,iphone,6g,oem,,,13.0,13650,,,,,
179,2023-11-25,,iphone,6 plus,oem,,,12.0,12600,,,,,
180,2023-11-25,,iphone,6s,oem,,,14.0,14700,,,,,
181,2023-11-25,,iphone,6s plus,oem,,,16.0,16800,,,,,
182,2023-11-25,,iphone,7g,oem,,,15.0,15750,,,,,
183,2023-11-25,,iphone,7 plus,oem,,,17.0,17850,,,,,
350,2023-11-25,,huawei,k9,original,,,0.0,0,,,,,
351,2023-11-25,,huawei,k12,original,,,16.0,16800,,,,,
352,2023-11-25,,huawei,k10 c/m,original,,,8.0,8400,,,,,
353,2023-11-25,,huawei,k11,original,,,154.0,16170,,,,,
354,2023-11-25,,huawei,k22 plus,original,,,164.0,17220,,,,,
355,2023-11-25,,huawei,k22,original,,,164.0,17220,,,,,
356,2023-11-25,,huawei,k40,original,,,16.0,16800,,,,,
606,2023-01-01,,lg,k22 plus,original,negro,,140.0,147000,,,,,
607,2023-01-01,,lg,k40,original,negro,,300.0,315000,,,,,
608,2023-01-01,,lg,k40s,original,negro,,150.0,157500,,,,,
634,2023-01-01,,xiaomi,redmi 10 / 10 prime 2022,original,negro,,200.0,210000,,,,,
635,2023-01-01,,xiaomi,redmi 10c / 10 power / poco c40,original,negro,,150.0,157500,,,,,
637,2023-01-01,,xiaomi,mi note 10 / note 10 lite,original curvo,negro,,250.0,262500,,,,,
638,2023-01-01,,xiaomi,mi10t lite 5g / note 9 pro 5g / poco x3,oled,negro,,210.0,220500,,,,,
